UID          PID    PPID  C STIME TTY          TIME CMD
root        6677       2  0 08:04 ?        00:00:00 [jbd2/sda1-8]
root        6678       2  0 08:04 ?        00:00:00 [ext4-rsv-conver]
daadest+    6700    2775  0 08:04 ?        00:00:00 /usr/libexec/gvfsd-dnssd --spawner :1.3 /org/gtk/gvfs/exec_spaw/4
daadest+    6714    2744  1 08:04 ?        00:02:15 /usr/bin/gedit --gapplication-service
daadest+    6763    2744  0 08:05 ?        00:00:28 /usr/libexec/gnome-terminal-server
daadest+    6774    6763  0 08:05 pts/0    00:00:00 bash
root        8898    1772  0 09:01 ?        00:00:00 gdm-session-worker [pam/gdm-password]
root        8916       2  0 09:01 ?        00:00:02 [kworker/3:1-events]
daadest+    9478    3857  0 09:14 ?        00:00:04 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3438651059000056980,7765889086239088587,131072 --lang=en-GB --enable-crash-reporter=eebeb00a-a0c4-4316-8c45-262043957a2e, --extension-process --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=173 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
daadest+    9489    3857  0 09:14 ?        00:00:08 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3438651059000056980,7765889086239088587,131072 --lang=en-GB --enable-crash-reporter=eebeb00a-a0c4-4316-8c45-262043957a2e, --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=174 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
daadest+   10243    3857 11 09:35 ?        00:09:17 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3438651059000056980,7765889086239088587,131072 --lang=en-GB --enable-crash-reporter=eebeb00a-a0c4-4316-8c45-262043957a2e, --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=208 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
daadest+   10300    3857  0 09:36 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3438651059000056980,7765889086239088587,131072 --lang=en-GB --enable-crash-reporter=eebeb00a-a0c4-4316-8c45-262043957a2e, --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=211 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
root       10672       2  0 09:46 ?        00:00:00 [kworker/3:0-events]
root       10916       2  0 09:51 ?        00:00:01 [kworker/2:0-events]
root       11362       2  0 10:14 ?        00:00:00 [kworker/2:2-events]
root       11367       2  0 10:14 ?        00:00:00 [kworker/u8:10-i915]
root       11395       2  0 10:29 ?        00:00:00 [kworker/u8:36-events_unbound]
root       11423       2  0 10:29 ?        00:00:00 [irq/128-mei_me]
root       11451       2  0 10:29 ?        00:00:00 [kworker/0:6-kec_query]
root       11482       2  0 10:29 ?        00:00:01 [kworker/u9:2+i915_flip]
root       11630    1772  0 10:29 ?        00:00:00 gdm-session-worker [pam/gdm-password]
postfix    11734    2730  0 10:29 ?        00:00:00 pickup -l -t unix -u -c
postfix    11736    2730  0 10:29 ?        00:00:00 qmgr -l -t unix -u
postfix    11740    2730  0 10:29 ?        00:00:00 tlsmgr -l -t unix -u -c
